0.34595,0.13495,0.92850
0.54023,-0.03655,-0.84073
-0.68887,0.12075,-0.71476
0.87694,-0.09967,-0.47015
0.49031,0.83153,0.26107
-0.98163,-0.16896,0.08864
-0.43393,-0.38048,-0.81666
-0.30270,0.94316,0.13719
0.01347,-0.69839,-0.71559
0.40286,-0.85465,-0.32754
0.20269,0.77363,-0.60034
-0.81994,-0.10604,0.56255
-0.20269,-0.77363,0.60034
0.10025,-0.97574,0.19462
-0.67424,0.56494,-0.47565
-0.79112,-0.60722,-0.07358
0.19122,0.33424,-0.92289
0.04475,0.86756,0.49531
0.53894,-0.51743,-0.66468
-0.49517,0.68449,0.53504
0.91177,0.34167,-0.22789
-0.95099,0.22049,-0.21680
-0.25278,0.07509,-0.96461
0.47770,0.54754,0.68702
-0.41307,-0.90348,0.11443
0.15391,0.98308,-0.09935
-0.68588,-0.58640,0.43093
0.82641,-0.42348,0.37109
-0.14758,0.04788,0.98789
-0.08994,-0.95449,-0.28435
0.55359,-0.29939,0.77711
0.99476,-0.05342,0.08716
-0.28131,0.88345,-0.37468
-0.05724,0.53133,0.84523
0.06794,-0.41383,0.90781
-0.50117,-0.72739,-0.46877
0.60778,0.75829,-0.23579
-0.26265,0.55903,-0.78645
0.34075,-0.73092,0.59131
-0.55807,0.26221,0.78727
-0.44538,-0.34157,0.82763
0.84409,0.47168,0.25502
-0.72173,0.69210,0.01042
0.58241,-0.80058,0.14099
-0.84674,-0.27236,-0.45700
0.80297,0.10529,0.58664
0.62644,0.43387,-0.64756
0.11046,-0.27513,-0.95504
-0.88210,0.34250,0.32341
0.83833,-0.50957,-0.19377
